CUST_NO	XCOORD	YCOORD	SERVICE_ENERGY	SERVICE_TIME
1	13254.9526	14105.0997	0.2000	10.0000
2	9250.3878	11169.1105	0.2000	10.0000
3	8487.8542	7358.0961	0.2000	10.0000
4	14422.9129	13396.5288	0.2000	10.0000
5	6344.0976	8531.1135	0.2000	10.0000
6	8822.8822	1915.5138	0.2000	10.0000
7	5187.1413	2523.8217	0.2000	10.0000
8	9172.3304	12236.4153	0.2000	10.0000
9	7433.9612	2294.2028	0.2000	10.0000
10	8151.4198	10658.9369	0.2000	10.0000
11	12132.5825	11250.2223	0.2000	10.0000
12	9211.3890	5287.8834	0.2000	10.0000
13	10630.9133	13367.8012	0.2000	10.0000
14	10832.5040	12741.2316	0.2000	10.0000
15	12480.8227	1150.8252	0.2000	10.0000
16	2690.9293	11163.0437	0.2000	10.0000
17	1343.4658	8326.1693	0.2000	10.0000
18	11236.5305	11546.8224	0.2000	10.0000
19	4405.9014	10532.8529	0.2000	10.0000
20	13223.3459	4469.5747	0.2000	10.0000
21	9949.7057	11806.8116	0.2000	10.0000
22	9928.1219	1569.7443	0.2000	10.0000
23	14671.9470	10757.4275	0.2000	10.0000
24	4302.9046	7191.0521	0.2000	10.0000
25	7068.3828	13407.2516	0.2000	10.0000
26	6414.6707	12949.0751	0.2000	10.0000
27	7181.5080	3673.2912	0.2000	10.0000
28	11653.0848	10202.8752	0.2000	10.0000
29	4404.4814	13125.9733	0.2000	10.0000
30	9736.6736	8740.7729	0.2000	10.0000
31	5101.6990	8581.8182	0.2000	10.0000
32	7558.9457	1653.4474	0.2000	10.0000
33	4207.5919	8457.7809	0.2000	10.0000
34	5454.5544	4433.2530	0.2000	10.0000
35	13280.3964	11213.5799	0.2000	10.0000
36	7871.0150	9923.3259	0.2000	10.0000
37	10081.7158	17.7873	0.2000	10.0000
38	12320.2899	10236.7500	0.2000	10.0000
39	917.6748	2190.0641	0.2000	10.0000
40	13866.5322	12143.8677	0.2000	10.0000
41	11995.8127	7549.0770	0.2000	10.0000
42	14947.2337	2040.4940	0.2000	10.0000
43	7596.4052	3008.4313	0.2000	10.0000
44	9921.5385	9503.6256	0.2000	10.0000
45	2616.0429	5097.1281	0.2000	10.0000
46	4518.9573	12324.9322	0.2000	10.0000
47	6200.9264	4946.7287	0.2000	10.0000
48	10204.5738	6339.9041	0.2000	10.0000
49	14813.3669	6251.6317	0.2000	10.0000
50	6446.5498	107.1955	0.2000	10.0000
51	14877.8367	12629.7286	0.0000	0.0000
52	11901.7638	2782.8326	0.0000	0.0000
53	209.8317	12485.7260	0.0000	0.0000
54	10408.4582	10101.7343	0.0000	0.0000
55	2585.8701	1495.1817	0.0000	0.0000
56	8003.5410	9327.8545	0.0000	0.0000
