CUST_NO	XCOORD	YCOORD	SERVICE_ENERGY	SERVICE_TIME
1	10855.0662	11531.6045	0.2000	10.0000
2	8807.0305	12685.9230	0.2000	10.0000
3	7253.7666	13520.1951	0.2000	10.0000
4	3435.2932	8720.0287	0.2000	10.0000
5	6639.0077	7866.7090	0.2000	10.0000
6	11160.0787	5774.4510	0.2000	10.0000
7	8831.5350	11714.0437	0.2000	10.0000
8	10707.1888	10836.2508	0.2000	10.0000
9	6179.5896	5840.5975	0.2000	10.0000
10	2957.1981	4349.4931	0.2000	10.0000
11	3826.4263	3994.4001	0.2000	10.0000
12	9324.5349	7891.2847	0.2000	10.0000
13	2266.3939	5618.5160	0.2000	10.0000
14	9966.5228	4993.1123	0.2000	10.0000
15	8282.8369	4617.2033	0.2000	10.0000
16	7942.5939	5608.3656	0.2000	10.0000
17	7082.0499	6081.4722	0.2000	10.0000
18	5577.4533	5246.9573	0.2000	10.0000
19	4284.3123	6067.3554	0.2000	10.0000
20	6234.3864	5162.8373	0.2000	10.0000
21	910.8148	987.4028	0.2000	10.0000
22	11916.1507	6936.7169	0.2000	10.0000
23	10794.0060	6293.6102	0.2000	10.0000
24	9799.2670	8334.9172	0.2000	10.0000
25	8451.3029	8960.4515	0.2000	10.0000
26	9242.9258	4469.6781	0.2000	10.0000
27	10497.1919	5308.8778	0.2000	10.0000
28	4629.4649	1789.7461	0.2000	10.0000
29	5086.5255	7447.3852	0.2000	10.0000
30	4817.0585	4059.1093	0.2000	10.0000
31	2946.3874	1746.0959	0.0000	0.0000
32	1250.7931	2960.9436	0.0000	0.0000
33	8135.5325	3224.9091	0.0000	0.0000
34	7308.4600	8539.9390	0.0000	0.0000
