CUST_NO          XCOORD           YCOORD           SERVICE_ENERGY   SERVICE_TIME
1              5047.0000        2832.0000        0.2000           10.0000
2               9319.0000        3540.0000        0.2000           10.0000         
3               7046.0000        10420.0000       0.2000           10.0000         
4               8195.0000        5357.0000        0.2000           10.0000         
5               5863.0000        8183.0000        0.2000           10.0000         
6               2402.0000        8678.0000        0.2000           10.0000         
7               2365.0000        3641.0000        0.2000           10.0000         
8               9196.0000        8857.0000        0.2000           10.0000         
9               5536.0000        6315.0000        0.2000           10.0000         
10               4814.0000        8680.0000        0.2000           10.0000               
11               5401.0000        5515.0000        0.0000           0.0000          
12               10669.0000       10174.0000       0.0000           0.0000          
13               10998.0000       1119.0000        0.0000           0.0000  
