CUST_NO	XCOORD	YCOORD	SERVICE_ENERGY	SERVICE_TIME
1	12289.9163	7587.0875	0.2000	10.0000
2	5259.2938	7734.4872	0.2000	10.0000
3	10396.0669	7970.3462	0.2000	10.0000
4	8064.2585	5041.1585	0.2000	10.0000
5	1653.5942	11429.1481	0.2000	10.0000
6	10631.0502	4976.4051	0.2000	10.0000
7	7634.9344	7456.4116	0.2000	10.0000
8	3327.2701	11557.1087	0.2000	10.0000
9	9633.9997	3944.5701	0.2000	10.0000
10	1566.3910	8959.6024	0.2000	10.0000
11	6118.8366	11660.5326	0.2000	10.0000
12	13305.1109	3961.7214	0.2000	10.0000
13	12831.1489	12108.4223	0.2000	10.0000
14	6345.4666	7314.1691	0.2000	10.0000
15	5465.0656	5320.6834	0.2000	10.0000
16	12026.2154	6045.7593	0.2000	10.0000
17	11326.8298	11550.7938	0.2000	10.0000
18	7714.1879	13996.3765	0.2000	10.0000
19	11049.7003	6579.1003	0.2000	10.0000
20	2534.8594	12084.6651	0.2000	10.0000
21	2962.1981	7650.4578	0.2000	10.0000
22	8255.1066	6558.2617	0.2000	10.0000
23	11005.7435	1882.0888	0.2000	10.0000
24	128.9866	6106.6826	0.2000	10.0000
25	4379.0390	7480.8261	0.2000	10.0000
26	13996.7842	10211.0724	0.2000	10.0000
27	4808.3807	6400.6947	0.2000	10.0000
28	11585.7792	2155.7413	0.2000	10.0000
29	14053.3018	6660.8594	0.2000	10.0000
30	11931.1516	14021.3985	0.2000	10.0000
31	10457.7179	11944.2649	0.2000	10.0000
32	9257.4226	11117.1955	0.2000	10.0000
33	13179.9015	8197.4918	0.2000	10.0000
34	3304.9759	5992.4837	0.2000	10.0000
35	7857.7050	3875.9745	0.2000	10.0000
36	11282.3335	10189.2028	0.2000	10.0000
37	10080.9881	12625.9532	0.2000	10.0000
38	8883.9765	391.4259	0.2000	10.0000
39	11050.4402	14291.3462	0.2000	10.0000
40	14519.4675	6009.8071	0.2000	10.0000
41	11885.4995	9369.3504	0.2000	10.0000
42	8021.2122	10110.8627	0.2000	10.0000
43	12664.7007	307.8921	0.2000	10.0000
44	8209.1192	1395.7195	0.2000	10.0000
45	13788.6360	7746.5771	0.2000	10.0000
46	11999.3068	3559.7334	0.2000	10.0000
47	4916.6833	12890.7342	0.2000	10.0000
48	11666.5964	4956.5897	0.2000	10.0000
49	402.9760	11383.5400	0.2000	10.0000
50	1631.5654	7566.3751	0.2000	10.0000
51	2819.6869	10092.9713	0.2000	10.0000
52	12078.3403	11064.8490	0.2000	10.0000
53	7553.0657	5928.4131	0.2000	10.0000
54	8434.9249	9350.8526	0.2000	10.0000
55	50.5045	12612.0314	0.2000	10.0000
56	2469.5159	8397.5778	0.2000	10.0000
57	7072.7863	5331.4871	0.2000	10.0000
58	5897.6753	8755.9563	0.2000	10.0000
59	2241.4868	9746.0348	0.2000	10.0000
60	12981.2206	7541.0501	0.2000	10.0000
61	2682.4205	3853.4608	0.2000	10.0000
62	11252.7586	8175.9037	0.2000	10.0000
63	8799.3163	11564.8637	0.2000	10.0000
64	9244.8066	6249.4060	0.2000	10.0000
65	11694.6711	6601.7857	0.2000	10.0000
66	4287.4497	8352.5528	0.0000	0.0000
67	9074.6235	10402.2869	0.0000	0.0000
68	13885.9330	3376.9359	0.0000	0.0000
69	1358.4441	8361.5691	0.0000	0.0000
70	9459.3256	1811.6342	0.0000	0.0000
71	8220.3602	5839.3447	0.0000	0.0000
72	9438.7573	7940.8878	0.0000	0.0000
