CUST_NO	XCOORD	YCOORD	SERVICE_ENERGY	SERVICE_TIME
1	8471.3719	16076.3378	0.2000	10.0000
2	16358.1844	18563.4367	0.2000	10.0000
3	13656.8775	16798.1906	0.2000	10.0000
4	898.3343	3434.6539	0.2000	10.0000
5	11300.7755	15938.6810	0.2000	10.0000
6	15551.1664	9236.9989	0.2000	10.0000
7	16782.2353	5455.8711	0.2000	10.0000
8	9211.8108	15059.1065	0.2000	10.0000
9	9258.6177	13381.1840	0.2000	10.0000
10	5887.2284	5599.2544	0.2000	10.0000
11	13194.0120	9298.4090	0.2000	10.0000
12	5548.2246	18640.3351	0.2000	10.0000
13	13182.5783	1046.6117	0.2000	10.0000
14	19957.0941	4960.3138	0.2000	10.0000
15	9490.9622	2864.1558	0.2000	10.0000
16	1973.5319	3892.8618	0.2000	10.0000
17	11953.7586	3937.7404	0.2000	10.0000
18	18175.5332	8438.0826	0.2000	10.0000
19	12644.1138	6139.1493	0.2000	10.0000
20	17866.4229	4275.8374	0.2000	10.0000
21	9452.3636	17210.5923	0.2000	10.0000
22	9032.1917	7953.5805	0.2000	10.0000
23	15659.0905	19003.3723	0.2000	10.0000
24	15870.1985	14594.7197	0.2000	10.0000
25	4784.3909	3225.2371	0.2000	10.0000
26	14501.0929	9110.6047	0.2000	10.0000
27	11696.0140	17313.6303	0.2000	10.0000
28	9291.3384	4109.5564	0.2000	10.0000
29	13517.4324	18898.0884	0.2000	10.0000
30	14226.1347	15272.7604	0.2000	10.0000
31	7232.5153	8281.9321	0.2000	10.0000
32	15035.0256	18277.3258	0.2000	10.0000
33	9110.6880	19993.6704	0.2000	10.0000
34	8296.4345	17047.9820	0.2000	10.0000
35	12683.3158	4686.1943	0.2000	10.0000
36	9214.6839	1489.6514	0.2000	10.0000
37	2084.4736	8499.1004	0.2000	10.0000
38	10292.4214	6530.4091	0.2000	10.0000
39	12612.5400	14403.0593	0.2000	10.0000
40	11877.0179	11543.5708	0.2000	10.0000
41	10165.6862	5079.5407	0.2000	10.0000
42	16201.0067	5068.3610	0.2000	10.0000
43	13677.7088	3011.4403	0.2000	10.0000
44	16765.4815	8453.9420	0.2000	10.0000
45	10510.9340	12214.8702	0.2000	10.0000
46	7578.8972	3549.6571	0.2000	10.0000
47	12733.0819	18517.0799	0.2000	10.0000
48	11162.3929	5580.9569	0.2000	10.0000
49	19244.5662	11168.4646	0.2000	10.0000
50	4743.3836	2035.6793	0.2000	10.0000
51	7322.9130	7123.6135	0.2000	10.0000
52	14363.6975	18571.1412	0.2000	10.0000
53	13126.4260	12990.8763	0.2000	10.0000
54	12553.5985	19308.6232	0.2000	10.0000
55	18492.7685	11999.4116	0.2000	10.0000
56	15790.9526	7505.4672	0.2000	10.0000
57	6070.3079	19414.2701	0.2000	10.0000
58	13470.4486	7569.2690	0.2000	10.0000
59	4965.0852	5874.4569	0.2000	10.0000
60	18829.2801	4710.3856	0.2000	10.0000
61	13787.7826	12440.4530	0.2000	10.0000
62	17485.9379	9046.3880	0.2000	10.0000
63	13116.9874	2750.6691	0.2000	10.0000
64	7756.3695	7605.8551	0.2000	10.0000
65	2404.1156	7276.7657	0.2000	10.0000
66	5317.9732	1005.7850	0.2000	10.0000
67	9271.1233	18684.2323	0.2000	10.0000
68	19267.2561	18339.0990	0.2000	10.0000
69	17302.8213	13990.5364	0.2000	10.0000
70	5955.6673	3969.1782	0.2000	10.0000
71	14976.4620	14637.1868	0.2000	10.0000
72	17302.7757	7477.1308	0.2000	10.0000
73	12562.2818	9513.4500	0.2000	10.0000
74	14956.8886	6639.9417	0.2000	10.0000
75	6056.8642	17361.7487	0.2000	10.0000
76	11855.9348	17926.5342	0.2000	10.0000
77	14339.5792	5318.9726	0.2000	10.0000
78	15471.4974	11978.2286	0.2000	10.0000
79	7408.9638	19807.3441	0.2000	10.0000
80	10895.2299	18788.6021	0.2000	10.0000
81	10835.1640	15425.8217	0.2000	10.0000
82	14646.3325	4687.4546	0.2000	10.0000
83	7873.9532	8282.0186	0.2000	10.0000
84	14148.4097	1989.4714	0.2000	10.0000
85	11123.8753	3712.6179	0.2000	10.0000
86	18078.6009	5729.0151	0.2000	10.0000
87	9993.9598	15832.9428	0.2000	10.0000
88	14628.0617	19241.7994	0.2000	10.0000
89	4213.1936	6961.0594	0.2000	10.0000
90	12817.2925	11512.9342	0.2000	10.0000
91	16763.2518	12514.6266	0.2000	10.0000
92	12969.0246	16649.8679	0.2000	10.0000
93	10155.5331	18428.5006	0.2000	10.0000
94	15329.6719	2922.1440	0.2000	10.0000
95	11633.5546	19929.4667	0.2000	10.0000
96	13491.3615	14686.3344	0.2000	10.0000
97	10489.3504	12848.2576	0.2000	10.0000
98	655.0899	5484.6289	0.2000	10.0000
99	7945.2115	7016.4785	0.2000	10.0000
100	7586.7167	1079.4699	0.2000	10.0000
101	17262.9546	10367.3232	0.2000	10.0000
102	13870.6633	8437.1689	0.2000	10.0000
103	16624.0338	6945.6233	0.2000	10.0000
104	11776.4097	6558.6050	0.2000	10.0000
105	7516.0587	13728.9425	0.2000	10.0000
106	4761.8040	9101.7922	0.2000	10.0000
107	13464.6936	13812.3364	0.2000	10.0000
108	16272.8896	15113.8725	0.2000	10.0000
109	16164.3121	1206.0066	0.2000	10.0000
110	14524.1620	12263.0049	0.2000	10.0000
111	14631.0101	7470.1525	0.0000	0.0000
112	14646.7285	10145.9814	0.0000	0.0000
113	18139.6482	868.9768	0.0000	0.0000
114	10238.0206	17570.8385	0.0000	0.0000
115	10647.3065	19590.4661	0.0000	0.0000
116	3846.5232	6115.9705	0.0000	0.0000
117	17409.6969	16827.7948	0.0000	0.0000
118	6094.7205	4743.8713	0.0000	0.0000
119	12338.7872	16402.3436	0.0000	0.0000
120	12109.5833	8597.9702	0.0000	0.0000
