CUST_NO          XCOORD           YCOORD           SERVICE_ENERGY   SERVICE_TIME
1                8454.0000        6788.0000        0.2000           10.0000         
2                3091.0000        1944.0000        0.2000           10.0000         
3                5313.0000        3738.0000        0.2000           10.0000
4                9234.0000        5021.0000        0.2000           10.0000         
5                7029.0000        8293.0000        0.2000           10.0000         
6                3998.0000        6926.0000        0.2000           10.0000         
7                10552.0000       7004.0000        0.2000           10.0000         
8                3737.0000        1269.0000        0.2000           10.0000         
9                8288.0000        3716.0000        0.2000           10.0000         
10               5047.0000        2832.0000        0.2000           10.0000         
11               9319.0000        3540.0000        0.2000           10.0000         
12               7046.0000        10420.0000       0.2000           10.0000         
13               8195.0000        5357.0000        0.2000           10.0000         
14               5863.0000        8183.0000        0.2000           10.0000         
15               2402.0000        8678.0000        0.2000           10.0000         
16               2365.0000        3641.0000        0.2000           10.0000         
17               9196.0000        8857.0000        0.2000           10.0000         
18               5536.0000        6315.0000        0.2000           10.0000         
19               4814.0000        8680.0000        0.2000           10.0000         
20               8869.0000        10943.0000       0.2000           10.0000         
21               5401.0000        5515.0000        0.0000           0.0000          
22               10669.0000       10174.0000       0.0000           0.0000          
23               10998.0000       1119.0000        0.0000           0.0000          
