CUST_NO	XCOORD	YCOORD	SERVICE_ENERGY	SERVICE_TIME
1	9752.7936	7559.8606	0.2000	10.0000
2	13525.4987	6504.8169	0.2000	10.0000
3	6510.1085	4995.5540	0.2000	10.0000
4	607.3179	3617.2762	0.2000	10.0000
5	1753.7495	12922.3137	0.2000	10.0000
6	10088.2992	11007.0666	0.2000	10.0000
7	4970.8621	3328.6278	0.2000	10.0000
8	8748.1116	8361.8907	0.2000	10.0000
9	11138.1662	3806.0391	0.2000	10.0000
10	6833.5213	8155.6199	0.2000	10.0000
11	7701.5637	12064.2297	0.2000	10.0000
12	290.5326	1845.3667	0.2000	10.0000
13	10548.9239	4725.1348	0.2000	10.0000
14	3280.7473	7957.1435	0.2000	10.0000
15	3906.4819	11632.5783	0.2000	10.0000
16	2555.2620	14352.5679	0.2000	10.0000
17	3265.1725	5782.1400	0.2000	10.0000
18	10609.1717	8763.1270	0.2000	10.0000
19	10516.5724	7844.2565	0.2000	10.0000
20	11891.8879	8757.4441	0.2000	10.0000
21	14815.0592	7136.2842	0.2000	10.0000
22	3595.2529	1563.6821	0.2000	10.0000
23	1787.3610	7198.9050	0.2000	10.0000
24	1692.8199	3399.7994	0.2000	10.0000
25	13597.1900	9987.8926	0.2000	10.0000
26	5202.8372	6990.9619	0.2000	10.0000
27	428.3259	13629.8299	0.2000	10.0000
28	11637.6570	7431.3697	0.2000	10.0000
29	11638.4505	5237.7404	0.2000	10.0000
30	14067.1776	12536.5914	0.2000	10.0000
31	5774.5366	4154.9594	0.2000	10.0000
32	6296.3618	1813.3059	0.2000	10.0000
33	1740.2619	5354.1521	0.2000	10.0000
34	566.4217	6131.3341	0.2000	10.0000
35	6501.2806	9943.0756	0.2000	10.0000
36	5579.6676	4856.9680	0.2000	10.0000
37	5021.7331	12259.5517	0.2000	10.0000
38	6024.7811	12803.4490	0.2000	10.0000
39	2954.2778	12801.2490	0.2000	10.0000
40	2923.2018	10538.6987	0.2000	10.0000
41	10223.7167	10372.3201	0.2000	10.0000
42	2616.9411	13502.1145	0.2000	10.0000
43	6402.1677	10881.0675	0.2000	10.0000
44	196.0430	11826.2359	0.2000	10.0000
45	12698.4802	8824.5026	0.2000	10.0000
46	9675.4068	8749.2510	0.2000	10.0000
47	1349.0840	4322.7570	0.2000	10.0000
48	371.8242	8490.1752	0.2000	10.0000
49	4556.2370	10864.3742	0.2000	10.0000
50	3207.8022	5077.7055	0.2000	10.0000
51	4865.5542	13599.0118	0.2000	10.0000
52	4875.2831	9972.6109	0.2000	10.0000
53	7784.6636	8235.7353	0.2000	10.0000
54	4255.0484	6949.8165	0.2000	10.0000
55	8044.3685	9641.9237	0.2000	10.0000
56	6092.1428	11553.0684	0.2000	10.0000
57	6071.3905	8903.1248	0.2000	10.0000
58	10860.4585	6170.1115	0.2000	10.0000
59	7091.3219	6197.5288	0.2000	10.0000
60	14562.5270	8318.6818	0.2000	10.0000
61	4805.5663	8136.0817	0.2000	10.0000
62	11690.6344	6079.3509	0.2000	10.0000
63	4883.4309	6074.3097	0.2000	10.0000
64	7149.2005	12591.8862	0.2000	10.0000
65	2427.5857	6541.4250	0.2000	10.0000
66	6643.4146	9133.8122	0.0000	0.0000
67	1206.2452	1614.8927	0.0000	0.0000
68	3299.5982	11973.6491	0.0000	0.0000
69	558.7143	11312.8585	0.0000	0.0000
70	3263.7675	4014.1971	0.0000	0.0000
71	7816.4222	5991.9620	0.0000	0.0000
72	14047.7487	8639.2319	0.0000	0.0000
